Id,TARGET
19477,low
29937,medium
109148,low
65728,low
33623,low
57810,medium
50217,medium
104393,low
91380,medium
21764,low
3727,low
120088,medium
88049,low
58047,low
110099,low
73272,medium
51873,low
118581,medium
13237,medium
117910,low
85236,medium
68617,high
56179,medium
16959,low
21360,low
2970,low
87678,medium
20841,low
20740,low
46878,low
56125,low
106664,medium
24490,low
80257,low
94066,low
7243,medium
95433,medium
13015,medium
72648,low
14281,low
63686,low
110515,low
62939,medium
71256,medium
21598,low
112101,medium
101255,medium
67554,medium
49678,low
65721,low
20308,medium
108540,low
66236,low
9136,medium
106126,low
13505,low
94812,low
29397,low
89901,medium
101605,low
7683,medium
96692,high
84042,low
31283,medium
93028,medium
113169,low
97069,low
15948,low
61889,medium
59636,low
64062,medium
89208,medium
76800,low
28751,medium
28832,low
115543,low
101282,low
118261,medium
32868,medium
119523,low
35982,medium
34347,low
121212,medium
58268,medium
8393,medium
74449,medium
80849,low
28449,low
77530,medium
48513,medium
39966,medium
84117,medium
82940,medium
94169,medium
67061,low
35742,medium
12966,medium
17203,low
12634,low
111904,low
23506,medium
71773,low
56085,low
123441,medium
71334,medium
54278,low
121495,medium
21780,low
34399,medium
53692,medium
101199,low
46516,medium
45913,high
11666,low
17797,medium
71751,low
97079,low
28062,low
85180,medium
7836,high
37812,low
9206,low
8333,low
76461,high
91430,low
52318,low
9333,low
109262,low
78740,low
5366,low
121230,low
106259,low
100841,low
20413,low
70076,medium
53696,low
48600,medium
114729,low
101215,medium
73050,low
41408,low
85031,low
42630,medium
114798,low
3964,medium
104750,low
16172,high
102394,high
111433,low
50616,low
86667,medium
14807,low
79456,low
7507,medium
118740,low
11433,medium
49894,medium
49897,low
12803,high
93797,low
44747,low
1896,medium
46562,low
83133,low
94614,medium
43151,medium
13497,medium
63283,medium
47226,low
91458,medium
87634,medium
47987,low
47006,low
73635,medium
18109,low
33842,low
76985,low
121153,low
47354,low
114967,low
6013,medium
117373,medium
1250,medium
50104,low
114431,low
107471,medium
1056,low
7935,low
26604,low
108169,low
85687,low
30355,low
52289,low
87639,low
106271,low
2603,medium
32547,low
13293,medium
90636,low
5655,high
45110,low
4459,low
16036,low
94753,low
100659,low
54184,low
111934,low
63661,medium
12050,high
15113,medium
77850,low
70200,low
7171,low
74314,high
2452,low
85379,low
66906,medium
34934,medium
3635,low
46873,low
108004,medium
27964,low
47375,low
108287,low
61673,low
71712,low
116144,medium
20609,low
13073,medium
33565,low
32408,low
112027,low
20924,low
102230,medium
44708,medium
74491,low
36858,low
33974,low
7790,low
108866,low
22050,low
79731,low
4962,medium
36809,medium
116115,medium
52710,low
37969,low
118600,low
41254,low
35276,low
52100,medium
71235,low
53101,low
59507,low
60371,low
93262,medium
52065,low
74154,low
111838,medium
90214,low
101630,low
56649,low
97868,medium
56416,low
40003,low
23478,low
89835,medium
115139,low
81248,low
1782,low
88329,medium
117235,medium
117558,medium
38157,medium
61437,medium
17754,low
73649,low
95125,low
109138,low
100055,low
18526,medium
114533,medium
8806,low
92104,low
121238,low
72838,low
34009,low
100641,low
62058,low
81586,low
67894,low
122374,low
13751,low
36197,low
35771,low
121746,low
1527,medium
122619,high
97343,low
13734,medium
119705,low
25975,low
28067,low
70803,medium
38524,medium
80028,low
113800,low
62191,low
67283,low
8905,low
34797,low
11242,medium
35048,low
12371,medium
39304,medium
36009,low
2928,low
61339,low
58740,medium
94788,low
44710,low
34024,low
4474,medium
104283,low
37129,low
94987,low
4343,low
121358,low
11817,low
52701,medium
78485,low
936,low
29616,low
91169,low
105078,low
69708,low
109914,medium
32601,low
194,medium
4752,medium
11884,low
73778,medium
92175,medium
98286,low
119557,low
49275,low
29409,low
121078,low
6249,medium
23229,medium
70536,medium
29713,medium
37588,low
93239,low
79372,medium
16293,medium
98796,medium
73018,low
24494,medium
72374,low
88460,low
117478,low
567,low
43909,medium
106315,low
7887,medium
121773,medium
5937,medium
102656,low
53970,low
52012,low
